FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,GLP CILINDRO,GLP LIBRAS
14-mar-21,7.73057,26.6,25.81,21.31,15.79,120.0,4.8
15-mar-21,7.72429,27.27,26.47,21.68,15.79,120.0,4.8
16-mar-21,7.72084,27.27,26.47,21.68,15.79,120.0,4.8
17-mar-21,7.72462,27.27,26.47,21.68,15.79,120.0,4.8
18-mar-21,7.72059,27.27,26.47,21.68,15.79,120.0,4.8
19-mar-21,7.72156,27.27,26.47,21.68,15.79,120.0,4.8
20-mar-21,7.72156,27.27,26.47,21.68,15.79,120.0,4.8
21-mar-21,7.72156,27.27,26.47,21.68,15.79,120.0,4.8
22-mar-21,7.72274,27.02,26.22,21.41,15.79,120.0,4.8
23-mar-21,7.72002,27.02,26.22,21.41,15.79,120.0,4.8
24-mar-21,7.72758,27.02,26.22,21.41,15.79,120.0,4.8
25-mar-21,7.72719,27.02,26.22,21.41,15.79,120.0,4.8
26-mar-21,7.72379,27.02,26.22,21.41,15.79,120.0,4.8
27-mar-21,7.72379,27.02,26.22,21.41,15.79,120.0,4.8
28-mar-21,7.72379,27.02,26.22,21.41,15.79,120.0,4.8
29-mar-21,7.72267,26.35,25.56,20.8,15.59,120.0,4.8
30-mar-21,7.7199,26.35,25.56,20.8,15.59,120.0,4.8
31-mar-21,7.71498,26.35,25.56,20.8,15.59,120.0,4.8
1-abr-21,7.71498,26.35,25.56,20.8,15.59,120.0,4.8
2-abr-21,7.71498,26.35,25.56,20.8,15.59,120.0,4.8
3-abr-21,7.71498,26.35,25.56,20.8,15.59,120.0,4.8
4-abr-21,7.71498,26.35,25.56,20.8,15.59,120.0,4.8
5-abr-21,7.7179,26.45,25.66,20.71,15.59,120.0,4.8
6-abr-21,7.72277,26.45,25.66,20.71,15.59,120.0,4.8
7-abr-21,7.71815,26.45,25.66,20.71,15.59,120.0,4.8
8-abr-21,7.71725,26.45,25.66,20.71,15.59,120.0,4.8
9-abr-21,7.72209,26.45,25.66,20.71,15.59,120.0,4.8
10-abr-21,7.72209,26.45,25.66,20.71,15.59,120.0,4.8
11-abr-21,7.72209,26.45,25.66,20.71,15.59,120.0,4.8
12-abr-21,7.71748,26.97,26.17,20.43,15.44,120.0,4.8
13-abr-21,7.71454,26.97,26.17,20.43,15.44,120.0,4.8
14-abr-21,7.71791,26.97,26.17,20.43,15.44,120.0,4.8
15-abr-21,7.71877,26.97,26.17,20.43,15.44,120.0,4.8
16-abr-21,7.71832,26.97,26.17,20.43,15.44,120.0,4.8
17-abr-21,7.71832,26.97,26.17,20.43,15.44,120.0,4.8
18-abr-21,7.71832,26.97,26.17,20.43,15.44,120.0,4.8
19-abr-21,7.71216,27.0,26.2,20.59,16.14,120.0,4.8
20-abr-21,7.71103,27.0,26.2,20.59,16.14,120.0,4.8
21-abr-21,7.71206,27.0,26.2,20.59,16.14,120.0,4.8
22-abr-21,7.71432,27.0,26.2,20.59,16.14,120.0,4.8
23-abr-21,7.71463,27.0,26.2,20.59,16.14,120.0,4.8
24-abr-21,7.71463,27.0,26.2,20.59,16.14,120.0,4.8
25-abr-21,7.71463,27.0,26.2,20.59,16.14,120.0,4.8
26-abr-21,7.71238,27.27,26.49,20.87,16.44,120.0,4.8
27-abr-21,7.71167,27.27,26.49,20.87,16.44,120.0,4.8
28-abr-21,7.71934,27.27,26.49,20.87,16.44,120.0,4.8
29-abr-21,7.71649,27.27,26.49,20.87,16.44,120.0,4.8
30-abr-21,7.71812,27.27,26.49,20.87,16.44,120.0,4.8
1-may-21,7.71812,27.27,26.49,20.87,16.44,120.0,4.8
2-may-21,7.71812,27.27,26.49,20.87,16.44,120.0,4.8
3-may-21,7.71812,27.29,26.49,21.12,16.44,120.0,4.8
4-may-21,7.71336,27.29,26.49,21.12,16.44,120.0,4.8
5-may-21,7.71288,27.29,26.49,21.12,16.44,120.0,4.8
6-may-21,7.7117,27.29,26.49,21.12,16.44,120.0,4.8
7-may-21,7.71133,27.29,26.49,21.12,16.44,120.0,4.8
8-may-21,7.71133,27.29,26.49,21.12,16.44,120.0,4.8
9-may-21,7.71133,27.29,26.49,21.12,16.44,120.0,4.8
